,Unnamed: 0,Route,Distance,Cost,InitialLoad
1095,1095,"[0, 38.0, 21.0, 0.0]",305.7197235978921,1528.5986179894603,19000
1164,1164,"[0, 32.0, 23.0, 0.0]",149.45664607272246,747.2832303636123,19000
3389,3389,"[0, 35.0, 15.0, 24.0, 0.0]",247.0331919637513,1235.1659598187566,17500
4149,4149,"[0, 12.0, 40.0, 3.0, 0.0]",287.2643267776664,1436.321633888332,16000
10704,10704,"[0, 16.0, 25.0, 0.0]",169.38869390133917,846.9434695066958,12500
10783,10783,"[0, 14.0, 11.0, 4.0, 0.0]",367.767067726237,1838.8353386311849,12500
20206,20206,"[0, 33.0, 28.0, 19.0, 0.0]",276.38922637480607,1381.9461318740305,11000
22041,22041,"[0, 39.0, 29.0, 0.0]",197.76829522493688,988.8414761246844,11000
24928,24928,"[0, 8.0, 18.0, 31.0, 34.0, 0.0]",310.1318437608561,1550.6592188042805,10250
34973,34973,"[0, 26.0, 6.0, 5.0, 22.0, 2.0, 0.0]",352.98318006981293,1764.9159003490647,7500
38066,38066,"[0, 20.0, 30.0, 9.0, 10.0, 0.0]",351.19161113806706,1755.9580556903352,5000
40448,40448,"[0, 17.0, 37.0, 1.0, 27.0, 36.0, 7.0, 13.0, 0.0]",391.01150198816384,1955.0575099408195,750
