,Route,Distance,Cost,InitialLoad
0,"[0, 40.2, 21.2, 21.1, 22.0, 0.0]",264.2146109842298,1321.073054921149,20000
1,"[0, 40.2, 21.2, 21.1, 13.0, 0.0]",309.10485262890285,1545.5242631445142,20000
2,"[0, 40.2, 21.2, 21.1, 2.0, 0.0]",264.434240733653,1322.171203668265,20000
3,"[0, 40.2, 21.2, 21.1, 0.0]",264.1368544236877,1320.6842721184385,20000
4,"[0, 40.2, 21.2, 21.1, 34.0, 2.0, 0.0]",363.4571590205957,1817.2857951029787,20000
5,"[0, 40.2, 21.2, 21.1, 34.0, 13.0, 0.0]",423.21394044200673,2116.0697022100335,20000
6,"[0, 40.2, 21.2, 21.1, 34.0, 0.0]",351.2035530123912,1756.017765061956,20000
7,"[0, 40.2, 21.2, 34.0, 2.0, 0.0]",363.4571590205957,1817.2857951029787,20000
8,"[0, 40.2, 21.2, 34.0, 21.2, 0.0]",496.4575198841671,2482.2875994208352,20000
9,"[0, 40.2, 21.2, 34.0, 21.2, 2.0, 0.0]",496.7549061941324,2483.774530970662,20000
10,"[0, 40.2, 21.2, 34.0, 21.2, 13.0, 0.0]",541.4255180893823,2707.1275904469117,20000
11,"[0, 40.2, 21.2, 34.0, 21.1, 13.0, 0.0]",541.4255180893823,2707.1275904469117,20000
12,"[0, 40.2, 21.2, 34.0, 21.1, 2.0, 0.0]",496.7549061941324,2483.774530970662,20000
13,"[0, 40.2, 21.2, 34.0, 21.1, 0.0]",496.4575198841671,2482.2875994208352,20000
14,"[0, 40.2, 21.2, 34.0, 22.0, 2.0, 0.0]",435.2510102965452,2176.255051482726,20000
15,"[0, 40.2, 21.2, 34.0, 22.0, 13.0, 0.0]",482.97999188937735,2414.899959446887,20000
16,"[0, 40.2, 21.2, 34.0, 22.0, 0.0]",435.01913971126896,2175.095698556345,20000
17,"[0, 40.2, 21.2, 34.0, 22.0, 34.0, 0.0]",534.9076019606928,2674.538009803464,20000
18,"[0, 40.2, 21.2, 34.0, 13.0, 2.0, 0.0]",455.1587402251145,2275.7937011255726,20000
19,"[0, 40.2, 21.2, 34.0, 13.0, 0.0]",423.21394044200673,2116.0697022100335,20000
20,"[0, 40.2, 21.2, 34.0, 13.0, 21.1, 0.0]",632.4283177076334,3162.1415885381666,20000
21,"[0, 40.2, 21.2, 34.0, 13.0, 21.2, 0.0]",632.4283177076334,3162.1415885381666,20000
22,"[0, 40.2, 21.2, 34.0, 23.0, 0.0]",415.58613591530957,2077.930679576548,20000
23,"[0, 40.2, 21.2, 34.0, 0.0]",351.2035530123912,1756.017765061956,20000
24,"[0, 40.2, 21.2, 36.0, 13.0, 2.0, 0.0]",354.4623350909606,1772.311675454803,20000
25,"[0, 40.2, 21.2, 36.0, 13.0, 0.0]",322.5175353078528,1612.587676539264,20000
26,"[0, 40.2, 21.2, 23.0, 2.0, 0.0]",403.85248570331794,2019.2624285165898,20000
27,"[0, 40.2, 21.2, 23.0, 0.0]",362.3973846909033,1811.9869234545167,20000
28,"[0, 40.2, 21.2, 22.0, 2.0, 0.0]",264.44648156950603,1322.23240784753,20000
29,"[0, 40.2, 21.2, 22.0, 13.0, 0.0]",312.1754631623382,1560.877315811691,20000
30,"[0, 40.2, 21.2, 22.0, 21.1, 0.0]",338.5525113783904,1692.762556891952,20000
31,"[0, 40.2, 21.2, 22.0, 21.2, 0.0]",338.5525113783904,1692.762556891952,20000
32,"[0, 40.2, 21.2, 22.0, 0.0]",264.2146109842298,1321.073054921149,20000
33,"[0, 40.2, 21.2, 22.0, 34.0, 2.0, 0.0]",376.35667924185816,1881.783396209291,20000
34,"[0, 40.2, 21.2, 22.0, 34.0, 13.0, 0.0]",436.11346066326917,2180.5673033163457,20000
35,"[0, 40.2, 21.2, 22.0, 34.0, 0.0]",364.1030732336536,1820.515366168268,20000
36,"[0, 40.2, 21.2, 0.0]",264.1368544236877,1320.6842721184385,20000
37,"[0, 40.2, 21.2, 2.0, 0.0]",264.434240733653,1322.171203668265,20000
38,"[0, 40.2, 21.2, 13.0, 2.0, 0.0]",341.04965241201063,1705.248262060053,20000
39,"[0, 40.2, 21.2, 13.0, 0.0]",309.10485262890285,1545.5242631445142,20000
40,"[0, 40.2, 21.2, 13.0, 21.1, 0.0]",518.3192298945295,2591.5961494726475,20000
41,"[0, 40.2, 21.2, 13.0, 21.2, 0.0]",518.3192298945295,2591.5961494726475,20000
42,"[0, 40.2, 21.2, 13.0, 23.0, 0.0]",394.54986850981106,1972.7493425490552,20000
43,"[0, 40.2, 40.1, 2.0, 0.0]",240.32650977210815,1201.6325488605407,20000
44,"[0, 40.2, 40.1, 13.0, 0.0]",292.11209683194636,1460.560484159732,20000
45,"[0, 40.2, 40.1, 10.0, 0.0]",417.51999392811206,2087.59996964056,20000
46,"[0, 40.2, 40.1, 9.0, 0.0]",393.3684553060804,1966.8422765304022,20000
47,"[0, 40.2, 40.1, 9.0, 10.0, 0.0]",490.73392901293107,2453.6696450646555,20000
48,"[0, 40.2, 40.1, 9.0, 34.0, 0.0]",435.19826856873766,2175.9913428436885,20000
49,"[0, 40.2, 40.1, 34.0, 13.0, 0.0]",380.85930983372066,1904.2965491686032,20000
50,"[0, 40.2, 40.1, 34.0, 0.0]",308.8489224041051,1544.2446120205254,20000
51,"[0, 40.2, 40.1, 0.0]",240.27658729056395,1201.3829364528196,20000
52,"[0, 40.2, 15.0, 2.0, 0.0]",473.70847167439547,2368.5423583719776,20000
53,"[0, 40.2, 15.0, 0.0]",430.4985404714837,2152.4927023574182,20000
54,"[0, 40.2, 15.0, 13.0, 0.0]",475.2273931232142,2376.136965616071,20000
55,"[0, 40.2, 15.0, 10.0, 13.0, 0.0]",477.49102135495474,2387.455106774774,20000
56,"[0, 40.2, 15.0, 10.0, 0.0]",431.22625356293685,2156.131267814684,20000
57,"[0, 40.2, 15.0, 34.0, 2.0, 0.0]",586.5783943654875,2932.8919718274374,20000
58,"[0, 40.2, 15.0, 34.0, 13.0, 0.0]",646.3351757868986,3231.675878934493,20000
59,"[0, 40.2, 15.0, 34.0, 0.0]",574.324788357283,2871.623941786415,20000
60,"[0, 40.2, 13.0, 2.0, 0.0]",324.05689661505414,1620.2844830752706,20000
61,"[0, 40.2, 13.0, 0.0]",292.11209683194636,1460.560484159732,20000
62,"[0, 40.2, 13.0, 21.1, 2.0, 0.0]",501.62386040753825,2508.1193020376913,20000
63,"[0, 40.2, 13.0, 21.1, 0.0]",501.32647409757294,2506.6323704878646,20000
64,"[0, 40.2, 13.0, 21.1, 21.2, 0.0]",501.32647409757294,2506.6323704878646,20000
65,"[0, 40.2, 13.0, 21.2, 21.1, 0.0]",501.32647409757294,2506.6323704878646,20000
66,"[0, 40.2, 13.0, 21.2, 0.0]",501.32647409757294,2506.6323704878646,20000
67,"[0, 40.2, 13.0, 21.2, 2.0, 0.0]",501.62386040753825,2508.1193020376913,20000
68,"[0, 40.2, 13.0, 23.0, 2.0, 0.0]",419.0122137252692,2095.061068626346,20000
69,"[0, 40.2, 13.0, 23.0, 0.0]",377.55711271285463,1887.7855635642732,20000
70,"[0, 40.2, 10.0, 2.0, 0.0]",460.5766008924201,2302.8830044621004,20000
71,"[0, 40.2, 10.0, 15.0, 0.0]",430.75279658644405,2153.76398293222,20000
72,"[0, 40.2, 10.0, 15.0, 13.0, 0.0]",475.48164923817455,2377.408246190873,20000
73,"[0, 40.2, 10.0, 13.0, 2.0, 0.0]",495.7295615032378,2478.647807516189,20000
74,"[0, 40.2, 10.0, 13.0, 0.0]",463.78476172013,2318.92380860065,20000
75,"[0, 40.2, 10.0, 13.0, 21.1, 2.0, 0.0]",673.296525295722,3366.4826264786097,20000
76,"[0, 40.2, 10.0, 13.0, 21.1, 0.0]",672.9991389857566,3364.9956949287835,20000
77,"[0, 40.2, 10.0, 13.0, 21.2, 0.0]",672.9991389857566,3364.9956949287835,20000
78,"[0, 40.2, 10.0, 13.0, 21.2, 2.0, 0.0]",673.296525295722,3366.4826264786097,20000
79,"[0, 40.2, 10.0, 13.0, 23.0, 2.0, 0.0]",590.6848786134528,2953.424393067264,20000
80,"[0, 40.2, 10.0, 13.0, 23.0, 0.0]",549.2297776010382,2746.148888005191,20000
81,"[0, 40.2, 10.0, 23.0, 2.0, 0.0]",462.8065196372344,2314.032598186172,20000
82,"[0, 40.2, 10.0, 23.0, 0.0]",421.35141862481976,2106.757093124099,20000
83,"[0, 40.2, 10.0, 24.0, 2.0, 0.0]",524.8519339770518,2624.259669885259,20000
84,"[0, 40.2, 10.0, 24.0, 0.0]",481.24863066080496,2406.243153304025,20000
85,"[0, 40.2, 10.0, 0.0]",417.51999392811206,2087.59996964056,20000
86,"[0, 40.2, 9.0, 2.0, 0.0]",418.18539325831284,2090.926966291564,20000
87,"[0, 40.2, 9.0, 0.0]",393.3684553060804,1966.8422765304022,20000
88,"[0, 40.2, 9.0, 21.1, 22.0, 13.0, 0.0]",626.1915334309928,3130.957667154964,20000
89,"[0, 40.2, 9.0, 21.1, 22.0, 0.0]",578.2306812528842,2891.153406264421,20000
90,"[0, 40.2, 9.0, 21.1, 22.0, 34.0, 0.0]",678.1191435023081,3390.595717511541,20000
91,"[0, 40.2, 9.0, 21.1, 13.0, 2.0, 0.0]",655.0657226806652,3275.328613403326,20000
92,"[0, 40.2, 9.0, 21.1, 13.0, 0.0]",623.1209228975574,3115.6046144877873,20000
93,"[0, 40.2, 9.0, 21.1, 2.0, 0.0]",578.4503110023074,2892.251555011537,20000
94,"[0, 40.2, 9.0, 21.1, 0.0]",578.1529246923421,2890.7646234617105,20000
95,"[0, 40.2, 9.0, 21.1, 23.0, 0.0]",676.4134549595577,3382.0672747977887,20000
96,"[0, 40.2, 9.0, 21.1, 36.0, 13.0, 0.0]",636.5336055765074,3182.668027882537,20000
97,"[0, 40.2, 9.0, 21.1, 34.0, 2.0, 0.0]",677.4732292892502,3387.366146446251,20000
98,"[0, 40.2, 9.0, 21.1, 34.0, 21.2, 0.0]",810.4735901528215,4052.3679507641077,20000
99,"[0, 40.2, 9.0, 21.1, 34.0, 21.1, 0.0]",810.4735901528215,4052.3679507641077,20000
100,"[0, 40.2, 9.0, 21.1, 34.0, 22.0, 0.0]",749.0352099799234,3745.176049899617,20000
101,"[0, 40.2, 9.0, 21.1, 34.0, 22.0, 34.0, 0.0]",848.9236722293472,4244.618361146736,20000
102,"[0, 40.2, 9.0, 21.1, 34.0, 13.0, 2.0, 0.0]",769.174810493769,3845.8740524688446,20000
103,"[0, 40.2, 9.0, 21.1, 34.0, 13.0, 0.0]",737.2300107106612,3686.150053553306,20000
104,"[0, 40.2, 9.0, 21.1, 34.0, 23.0, 0.0]",729.602206183964,3648.01103091982,20000
105,"[0, 40.2, 9.0, 21.1, 34.0, 0.0]",665.2196232810456,3326.098116405228,20000
106,"[0, 40.2, 9.0, 21.1, 21.2, 34.0, 0.0]",665.2196232810456,3326.098116405228,20000
107,"[0, 40.2, 9.0, 21.1, 21.2, 0.0]",578.1529246923421,2890.7646234617105,20000
108,"[0, 40.2, 9.0, 15.0, 0.0]",502.7403638207444,2513.701819103722,20000
109,"[0, 40.2, 9.0, 15.0, 13.0, 0.0]",547.469216472475,2737.3460823623745,20000
110,"[0, 40.2, 9.0, 15.0, 10.0, 0.0]",503.46807691219755,2517.340384560988,20000
111,"[0, 40.2, 9.0, 15.0, 34.0, 0.0]",646.5666117065437,3232.8330585327185,20000
112,"[0, 40.2, 9.0, 13.0, 2.0, 0.0]",497.9207605582262,2489.603802791131,20000
113,"[0, 40.2, 9.0, 13.0, 0.0]",465.97596077511844,2329.879803875592,20000
114,"[0, 40.2, 9.0, 13.0, 21.1, 2.0, 0.0]",675.4877243507103,3377.4386217535516,20000
115,"[0, 40.2, 9.0, 13.0, 21.1, 0.0]",675.190338040745,3375.951690203725,20000
116,"[0, 40.2, 9.0, 13.0, 21.2, 0.0]",675.190338040745,3375.951690203725,20000
117,"[0, 40.2, 9.0, 13.0, 21.2, 2.0, 0.0]",675.4877243507103,3377.4386217535516,20000
118,"[0, 40.2, 9.0, 13.0, 23.0, 2.0, 0.0]",592.8760776684413,2964.3803883422065,20000
119,"[0, 40.2, 9.0, 13.0, 23.0, 0.0]",551.4209766560267,2757.1048832801334,20000
120,"[0, 40.2, 9.0, 10.0, 2.0, 0.0]",533.7905359772392,2668.952679886196,20000
121,"[0, 40.2, 9.0, 10.0, 15.0, 0.0]",503.96673167126306,2519.8336583563155,20000
122,"[0, 40.2, 9.0, 10.0, 13.0, 2.0, 0.0]",568.9434965880569,2844.7174829402843,20000
123,"[0, 40.2, 9.0, 10.0, 13.0, 0.0]",536.9986968049491,2684.993484024745,20000
124,"[0, 40.2, 9.0, 10.0, 13.0, 21.1, 0.0]",746.2130740705757,3731.0653703528783,20000
125,"[0, 40.2, 9.0, 10.0, 13.0, 21.2, 0.0]",746.2130740705757,3731.0653703528783,20000
126,"[0, 40.2, 9.0, 10.0, 13.0, 23.0, 0.0]",622.4437126858572,3112.2185634292864,20000
127,"[0, 40.2, 9.0, 10.0, 23.0, 2.0, 0.0]",536.0204547220534,2680.102273610267,20000
128,"[0, 40.2, 9.0, 10.0, 23.0, 0.0]",494.56535370963877,2472.8267685481937,20000
129,"[0, 40.2, 9.0, 10.0, 24.0, 2.0, 0.0]",598.0658690618708,2990.329345309354,20000
130,"[0, 40.2, 9.0, 10.0, 24.0, 0.0]",554.462565745624,2772.31282872812,20000
131,"[0, 40.2, 9.0, 10.0, 0.0]",490.73392901293107,2453.6696450646555,20000
132,"[0, 40.2, 9.0, 4.0, 0.0]",576.179209310775,2880.8960465538753,20000
133,"[0, 40.2, 9.0, 21.2, 21.1, 0.0]",578.1529246923421,2890.7646234617105,20000
134,"[0, 40.2, 9.0, 21.2, 21.1, 34.0, 0.0]",665.2196232810456,3326.098116405228,20000
135,"[0, 40.2, 9.0, 21.2, 34.0, 2.0, 0.0]",677.4732292892502,3387.366146446251,20000
136,"[0, 40.2, 9.0, 21.2, 34.0, 21.2, 0.0]",810.4735901528215,4052.3679507641077,20000
137,"[0, 40.2, 9.0, 21.2, 34.0, 21.1, 0.0]",810.4735901528215,4052.3679507641077,20000
138,"[0, 40.2, 9.0, 21.2, 34.0, 22.0, 0.0]",749.0352099799234,3745.176049899617,20000
139,"[0, 40.2, 9.0, 21.2, 34.0, 22.0, 34.0, 0.0]",848.9236722293472,4244.618361146736,20000
140,"[0, 40.2, 9.0, 21.2, 34.0, 13.0, 2.0, 0.0]",769.174810493769,3845.8740524688446,20000
141,"[0, 40.2, 9.0, 21.2, 34.0, 13.0, 0.0]",737.2300107106612,3686.150053553306,20000
142,"[0, 40.2, 9.0, 21.2, 34.0, 23.0, 0.0]",729.602206183964,3648.01103091982,20000
143,"[0, 40.2, 9.0, 21.2, 34.0, 0.0]",665.2196232810456,3326.098116405228,20000
144,"[0, 40.2, 9.0, 21.2, 36.0, 13.0, 0.0]",636.5336055765074,3182.668027882537,20000
145,"[0, 40.2, 9.0, 21.2, 23.0, 0.0]",676.4134549595577,3382.0672747977887,20000
146,"[0, 40.2, 9.0, 21.2, 22.0, 13.0, 0.0]",626.1915334309928,3130.957667154964,20000
147,"[0, 40.2, 9.0, 21.2, 22.0, 0.0]",578.2306812528842,2891.153406264421,20000
148,"[0, 40.2, 9.0, 21.2, 22.0, 34.0, 0.0]",678.1191435023081,3390.595717511541,20000
